"";"burchtID";"Jaar";"status";"bewoning";"Gebied"
"313";491;2016;"Hoofdburcht";"Bewoond";"Voeren"
"314";492;2016;"Hoofdburcht";"Bewoond";"Voeren"
"315";493;2016;"Hoofdburcht";"Bewoond";"Voeren"
"316";494;2016;"Hoofdburcht";"Bewoond";"Voeren"
"317";495;2016;"Hoofdburcht";"Bewoond";"Voeren"
"318";496;2016;"Hoofdburcht";"Bewoond";"Voeren"
"319";497;2016;"Hoofdburcht";"Bewoond";"Voeren"
"320";498;2016;"Bijburcht";"Bewoond";"Haspengouw"
"321";499;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"322";500;2016;"Bijburcht";"Bewoond";"Haspengouw"
"323";501;2016;"Bijburcht";"Bewoond";"Haspengouw"
