Soortnaam;Locatie;Uitgevoerd;Link_waarnemingen;puntlocaties zonder CP telling 2016
Purperorchis;Overbroek (e6-55-22);;http://waarnemingen.be/waarneming/view/117852391;
Purperorchis;Overbroek (e6-55-22);;http://waarnemingen.be/waarneming/view/117852395;
Purperorchis;Overbroek (e6-55-22);;http://waarnemingen.be/waarneming/view/117852394;
Purperorchis;Alsbos1 (e7-57-34);;;
Purperorchis;Alsbos2 (e7-57-43);;;
Purperorchis;Vrouwenbos (e7-57-44);;;
Purperorchis;Altenbroek3 (e7-57-13);;;
Purperorchis;Broekbos (e7-57-24);1;http://waarnemingen.be/waarneming/view/119338677;
Purperorchis;Broekbos (e7-57-24);;http://waarnemingen.be/waarneming/view/118855116;
Purperorchis;Altenbroek1 (e7-57-11);;;
Purperorchis;Altenbroek2 (e7-57-12);;;
Purperorchis;Roodbos (e7-58-34);1;http://waarnemingen.be/waarneming/view/119338641;
Purperorchis;Veursbos2 (e7-58-31);1;http://waarnemingen.be/waarneming/view/119338647;
Purperorchis;Veursbos2 (e7-58-31);;http://waarnemingen.be/waarneming/view/119338650;
Purperorchis;Veursbos2 (e7-58-31);;http://waarnemingen.be/waarneming/view/119338652;
Purperorchis;Veursbos2 (e7-58-31);;http://waarnemingen.be/waarneming/view/119338657;
Purperorchis;Veursbos1 (e7-58-13);;;
Purperorchis;Weerhakenmonument (e7-58-24);1;http://waarnemingen.be/waarneming/view/120045808;
Purperorchis;Teuvenerberg (e7-58-21);;;
Purperorchis;Grootbos (e7-32-44);1;http://waarnemingen.be/waarneming/view/125880290;
Purperorchis;Boenderberg (e8-51-31);;;
Spits fonteinkruid;Spitsbos (e6-18-42);1;http://waarnemingen.be/waarneming/view/125895018;
Spits fonteinkruid;Goren (d6-43-21);;;
Spits fonteinkruid;Ter Laemen (d6-35-42);;;
Spits fonteinkruid;Lakkenhof (c7-35-44);;;
Welriekende nachtorchis;Stroevenbos (f7-18-11);;;
Welriekende nachtorchis;Mabroek (f7-18-22);;;
Welriekende nachtorchis;Alsbos (e7-57-34);1;http://waarnemingen.be/waarneming/view/119175678;
Welriekende nachtorchis;Veursbos-Zuid (e7-58-31);;;
Welriekende nachtorchis;Veursbos-Noord (e7-58-13);;;
Welriekende nachtorchis;Teuvenerberg (e7-58-21);;;
Welriekende nachtorchis;Hasselbos (e7-31-31);1;http://waarnemingen.be/waarneming/view/119919601;
Welriekende nachtorchis;Hasselbos (e7-31-31);;http://waarnemingen.be/waarneming/view/119919602;
Welriekende nachtorchis;Hasselbos (e7-31-31);;http://waarnemingen.be/waarneming/view/119919603;
Welriekende nachtorchis;Hasselbos (e7-31-31);;http://waarnemingen.be/waarneming/view/119919604;
Welriekende nachtorchis;Hasselbos (e7-31-31);;http://waarnemingen.be/waarneming/view/119919607;
Welriekende nachtorchis;Hasselbos (e7-31-31);;http://waarnemingen.be/waarneming/view/119919606;
Welriekende nachtorchis;Hasselbos (e7-31-31);;http://waarnemingen.be/waarneming/view/119919608;
Welriekende nachtorchis;Tiendeberg (e7-34-42);;;
Welriekende nachtorchis;Boenderberg (e8-51-31);1;http://waarnemingen.be/waarneming/view/119478772;
Witte waterranonkel;Platwijers2 (d6-46-24);;;
Witte waterranonkel;Vijvergebied1 (d6-46-12);;;
Witte waterranonkel;Vijvergebied2 (d6-46-21);;;
Witte waterranonkel;Platwijers1 (d6-46-22);;;
Witte waterranonkel;Platwijers3 (d6-47-13);;;
Witte waterranonkel;Wijvenheide (d6-36-43);;;
Witte waterranonkel;Gerhagen1 (d6-21-13);;;
Witte waterranonkel;Gerhagen2 (d6-21-14);;;
Witte waterranonkel;Witte Bergen (d6-17-21);;te nat;
Witte waterranonkel;Beverbeekse Heide (b7-51-23);1;http://waarnemingen.be/waarneming/view/122323474;
Spits fonteinkruid;Stokerij Claes (d6-55-22);;;
Bleekgeel blaasjeskruid;Demerbroeken (d5-38-22);1;naar gezocht, niet gevonden, moeilijk toegankelijk, privaat, we zoeken volgend jaar opnieuw;
Grote bremraap;Averbode Bos en Heide (d5-28-24);1;http://waarnemingen.be/waarneming/view/118353288;
Grote bremraap;Schotsbroek (d5-37-14);;;
Grote bremraap;Vossekot (d5-35-41);;;
Grote bremraap;Ossenberg (d5-48-33);1;http://waarnemingen.be/waarneming/view/122074436;
Grote bremraap;Negenbunders (d5-48-34);1;http://waarnemingen.be/waarneming/view/119547457;
Grote bremraap;Negenbunders (d5-48-34);;http://waarnemingen.be/waarneming/view/119547460;
Grote bremraap;Luienberg (d6-41-32);1;http://waarnemingen.be/waarneming/view/119210077;
Grote bremraap;Luienberg (d6-41-32);;http://waarnemingen.be/waarneming/view/119210076;
Grote bremraap;Luienberg (d6-41-32);;http://waarnemingen.be/waarneming/view/119210075;
Grote bremraap;Luienberg (d6-41-32);;http://waarnemingen.be/waarneming/view/119210074;
Grote bremraap;Luienberg (d6-41-32);;http://waarnemingen.be/waarneming/view/119210073;
Grote bremraap;Luienberg (d6-41-32);;http://waarnemingen.be/waarneming/view/119210072;
