SOORTSCODE;ABUNDANTIE;WAARNEMER1;WAARNEMER2;WAARNEMER3;Datum;MAAND;JAAR;SCHAAL;OPMERKING;X_PROJ;Y_PROJ;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22718,99;198867,86;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22663,43;198933,70;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22661,72;198939,91;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22664,35;198946,20;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22671,60;198944,73;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22727,08;198944,00;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22722,34;198914,29;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22723,88;198907,73;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22733,48;198875,72;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22716,40;198873,45;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22693,36;198894,13;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22710,07;198943,59;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22715,84;198944,65;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22720,42;198941,03;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22714,93;198931,62;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22715,51;198921,81;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22715,56;198907,39;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22674,58;198930,74;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22709,82;198939,67;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22712,65;198905,92;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22690,66;198901,63;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22707,11;198909,38;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22703,41;198909,45;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;23/08/2016;8;2016;Foretrex201;;22734,05;199010,39;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23087,93;199221,05;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23120,75;199202,70;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23126,18;199209,75;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23132,32;199208,17;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23144,46;199234,63;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23139,04;199238,75;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23140,30;199245,48;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23147,29;199249,79;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23126,06;199287,84;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23119,79;199287,77;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23115,78;199291,80;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23109,62;199289,98;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23101,15;199286,52;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23096,29;199283,10;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23090,37;199283,21;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23076,61;199277,51;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23069,53;199276,62;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23065,29;199279,00;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23028,59;199270,38;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23122,97;199210,87;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23129,56;199215,59;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23138,26;199239,56;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23119,29;199284,39;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23098,76;199281,39;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23090,86;199278,53;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23084,88;199275,57;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23080,91;199277,72;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23073,56;199273,85;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23086,17;199228,20;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23126,37;199227,22;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23122,84;199273,69;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23121,86;199279,19;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23114,87;199281,20;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23104,20;199277,78;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23097,84;199274,27;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23084,42;199271,34;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23072,56;199269,44;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23090,74;199234,51;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23115,56;199227,13;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23123,81;199228,93;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23123,96;199261,73;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23101,06;199267,09;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23094,72;199266,30;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23074,35;199241,53;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23118,51;199259,21;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23104,55;199259,09;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23079,97;199244,82;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23088,47;199246,72;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23092,25;199253,18;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;26/08/2016;8;2016;Foretrex201;;23080,73;199250,84;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22626,24;198861,07;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22607,61;198862,87;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22610,69;198856,92;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22580,94;198834,97;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22568,09;198837,12;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22566,90;198838,85;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22580,88;198892,12;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22606,79;198906,28;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22625,44;198915,28;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22637,59;198934,80;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22643,60;198938,23;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22663,13;198911,85;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22630,15;198887,36;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22635,08;198868,55;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22633,94;198865,06;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22628,93;198865,84;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22607,67;198869,09;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22600,43;198867,29;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22654,27;198912,33;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;29/08/2016;8;2016;Foretrex201;;22628,98;198891,67;;;;;;;;;;;;;
