groep;meetnet;task_id;taak;visit_id;start_date;start_time;end_date;end_time;notes;locatie;protocol;bezoek_status;uitgevoerd_door
amfibieën;Boomkikker;1152;Veldbezoek 2;391;13/05/2016;21:00:00;;22:30:00;Hoofdteller: Bertie Vanderlee, Medetellers: Freddy Janssens, Philippe Plessers, totaal 7 poelen maaswinkel: ongeveer 122 mannetjes;Maaswinkel 8;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1555;Schepbezoek 1 (larven);260;14/07/2016;19:40:00;14/07/2016;20:20:00;Tellers: Bertie Vanderlee, Bart Hoelbeek, Iwan Dewyspelaere, Ook nog groene kikker: 13,3,4,11,9,7,4,10,10,12 respectievelijk per schep;Maaswinkel 8;Padden en kikkers - Larven;Conform protocol;Hannes Ledegen
amfibieën;Boomkikker;1087;Veldbezoek 1;121;4/05/2016;23:30:00;4/05/2016;0:00:00;Vrij koude nacht met open hemel (8°C). Mannetjes roepen opvallend gespreid over alle poelen;NR Dautewijers 1;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;;;15;4/05/2016;23:30:00;5/05/2016;0:30:00;Vrij koude nacht (8C) met open hemel, Roepende mannetjes opvallend verspreid over alle vijvers/poelen.;NR Dautewijers 1;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1147;Veldbezoek 2;125;28/05/2016;22:40:00;13/06/2016;22:45:00;;NR Dautewijers 1;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1550;Schepbezoek 1 (larven);780;18/06/2016;;;;We hebben niet elke schepbeurt geteld, maar de aantallen zijn het totaal van een tiental schepbeurten., maximale diepte: 0.5m;NR Dautewijers 1;Padden en kikkers - Larven;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;;;16;5/05/2016;0:00:00;5/05/2016;0:10:00;Vrij koude nacht (8C), Roepende mannetjes opvallend verspreid over alle poelen/vijvers.;NR Dautewijers 2;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1088;Veldbezoek 1;122;5/05/2016;0:30:00;5/05/2016;0:40:00;Vrij koude nacht met open hemel (8°C). Mannetjes roepen opvallend gespreid over alle poelen;NR Dautewijers 2;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1148;Veldbezoek 2;128;29/05/2016;0:10:00;29/05/2016;0:20:00;;NR Dautewijers 2;Padden en kikkers - Roepkoren;Conform protocol;Koen Thonissen
amfibieën;Boomkikker;1551;Schepbezoek 1 (larven);781;18/06/2016;;;;niet elke schepbeurt werd afzonderlijk genoteerd, maximale diepte: 0.80m;NR Dautewijers 2;Padden en kikkers - Larven;Conform protocol;Koen Thonissen
