Soortnaam;Naam locatie;Provincie;Pink;Uitgevoerd;link waarnemingen Conform-Protocol tellingen 2016;puntlocaties zonder CP  telling 2016
Fijn goudscherm;Zwin2 (b2-34-32);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/123321308;
Grote bremraap;Duvelsgat (c1-38-41);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/119062789;
Harlekijn;Kartuizerduinen (c0-48-24);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/117891992;
Honingorchis;Ter Yde2 (c0-48-41);West-Vlaanderen;1;1;INBO databank;
Honingorchis;Westhoek2 (c0-56-33);West-Vlaanderen;1;1;INBO databank;
Honingorchis;Westhoek3 (c0-56-34);West-Vlaanderen;1;1;INBO databank;
Honingorchis;Westhoek1 (c0-56-32);West-Vlaanderen;1;1;INBO databank;
Spits fonteinkruid;Blankaart2 (d1-33-34);West-Vlaanderen;;1;kaarten ontvangen;
Spits fonteinkruid;Blankaart3 (d1-33-43);West-Vlaanderen;;1;kaarten ontvangen;
Spits fonteinkruid;Blankaart1 (d1-33-32);West-Vlaanderen;;1;kaarten ontvangen;
Weegbreefonteinkruid;Hannecartbos (c0-48-42);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122980466;
Weegbreefonteinkruid;Fonteintjes2 (b2-41-13);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122508562;
Welriekende nachtorchis;Gulke Putten (d2-13-24);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122085662;
